host	tag
indymedia.org.au	C:politics
informahealthcare.com	C:advocacy
intermediaconsulting.org	C:family size
intheknowpeel.ca	Medical
iol.co.za	C:R/B
ippf.org	C:advocacy
ippfwhr.org	C:youth
irespectmyself.ca	Medical
irinnews.org	C:family size
irishtimes.com	C:politics
itsyoursexlife.com	C:youth
iwannaknow.org	Medical
jamaica-gleaner.com	C:religion
jnfpb.org	Medical
journals.elsevier.com	C:advocacy
k4health.org	C:R/B
kidshealth.org	C:education
kingcounty.gov	Medical
kiwifamilies.co.nz	Medical
knoxcounty.org	C:youth
koreatimes.co.kr	C:family size
labspace.open.ac.uk	Medical
larimer.org	Medical
latimes.com	C:religion
lawtons.ca	Medical
lds.org	C:religion
leadership.ng	Medical
leedssexualhealth.com	Medical
legislation.govt.nz	C:law
lfpa.org.lb	C:advocacy
lhj.com	Medical
lifescript.com	Medical
likeitis.org	C:youth
link.springer.com	C:advocacy
losangeles.cbslocal.com	C:R/B
mainefamilyplanning.org	Medical
malecontraceptives.org	Medical
marchofdimes.com	Medical
mariestopes.org	C:development
mariestopes.org.uk	Medical
mass.gov	Medical
massfamilyplanning.org	Medical
maternalhealthtaskforce.org	C:R/B
maybetheiud.org	Medical
mayoclinic.com	C:R/B
measuredhs.com	C:advocacy
medical-dictionary.thefreedictionary.com	Medical
medicalnewstoday.com	Medical
medicinenet.com	Medical
medindia.net	Medical
medpagetoday.com	Medical
medsafe.govt.nz	Medical
merckmanuals.com	Medical
merriam-webster.com	Medical
mfhs.org	Medical
mhra.gov.uk	C:R/B
michigan.gov	Medical
mims.co.uk	Medical
miplannedparenthood.org	C:law
mirena-us.com	Medical
mmcp.dhmh.maryland.gov	Medical
moappp.org	C:education
moh.gov.om	C:R/B
morningafterinfo.org	Medical
motherjones.com	C:politics
mountsinai.org	Medical
msdh.ms.gov	Medical
msfc.org	C:advocacy
mshc.org.au	Medical
mybirthcontrol.ca	Medical
mybrownbaby.com	C:youth
mycontraception.ie	Medical
mydr.com.au	Medical
nau.edu	Medical
nbcnews.com	C:law
nber.org	C:family size
ncbi.nlm.nih.gov	C:R/B
ncsl.org	C:youth
ndhealth.gov	Medical
netdoctor.co.uk	Medical
newmalecontraception.org	Medical
news.yahoo.com	C:religion
newsmomsneed.marchofdimes.com	C:R/B
nfprha.org	C:advocacy
nhs.uk	Medical
nidirect.gov.uk	C:youth
nlm.nih.gov	Medical
nlsexualhealthcentre.org	C:advocacy
northlandfamilyplanning.com	Medical
now.msn.com	C:youth
npr.org	C:R/B
nrl.northumbria.ac.uk	C:R/B
nsvrc.org	C:law
nuvaring.com	Medical
nyc.gov	C:youth
nytimes.com	C:youth
oacac-caa.org	Medical
observer.ug	Medical
ok.gov	C:youth
ottawa.ca	Medical
outsidethebeltway.com	C:family size
pag.ias2013.org	C:programme
pamf.org	C:youth
parenting.blogs.nytimes.com	C:R/B
parentingliteracy.com	NFP
pastoralmeanderings.blogspot.com	C:religion
pathfinder.org	C:R/B
patient.co.uk	Medical
peelregion.ca	Medical
phys.org	C:R/B
plannedparenthood.org	Medical
plannedparenthoodaction.org	C:law
plannedparenthoodpa.org	C:politics
plannedparenthoodregina.com	C:education
plosone.org	C:R/B
plymouth.ac.uk	C:R/B
policymic.com	C:finances
politicalticker.blogs.cnn.com	C:law
politico.com	C:law
populationaction.org	C:advocacy
post-gazette.com	C:law
potomacfamilyplanning.com	Medical
ppactionca.org	C:law
ppag-gh.org	Medical
ppawi.org	C:law
ppcok.org	Medical
ppgi.org	Medical
ppgnnj.org	Medical
pphsinc.org	Medical
ppin.org	C:law
ppottawa.ca	Medical
ppsev.org	Medical
ppt.on.ca	Medical
practicingmammal.blogspot.com	C:religion
premiumtimesng.com	C:religion
prochoiceny.org	Medical
psychologytoday.com	C:family size
punchng.com	C:law
rawstory.com	C:politics
rcog.org.uk	C:R/B
redorbit.com	Medical
reproductive-health-access-project-store.myshopify.com	C:R/B
reproductiveaccess.org	Medical
reproductiverights.org	C:politics
reuters.com	C:law
rhcatalyst.org	C:R/B
rhedi.org	C:R/B
rhrealitycheck.org	C:politics
rt.com	C:law
safersex.co.za	Medical
saharareporters.com	C:programme
salon.com	C:law
samsfameni.com.au	Medical
sandyford.org	Medical
saveroe.com	C:law
savethechildren.org.uk	C:programme
sciencedaily.com	C:family size
sciencedirect.com	C:R/B
scripturecatholic.com	C:religion
scroberts.weebly.com	C:R/B
sexualhealthmn.org	Medical
sexualhealthscotland.co.uk	Medical
sexualhealthwestsussex.nhs.uk	Medical
sexualityandu.ca	Medical
sfhnigeria.org	Medical
shfpa.org.au	Medical
shinesa.org.au	Medical
siecus.org	C:education
simpleindianmom.in	C:R/B
site.icomp.org.my	C:R/B
slate.com	C:law
sobeyspharmacy.com	Medical
societyfp.org	C:advocacy
sogc.org	Medical
southernnevadahealthdistrict.org	Medical
stevehicknermd.com	NFP
stopp.org	C:youth
stopteenpregnancy.childrensaidsociety.org	C:education
studentaffairs.pitt.edu	C:youth
studenthealth.ucsf.edu	Medical
stuff.co.nz	C:family size
sunstar.com.ph	C:R/B
talkchoice.co.uk	Medical
tchd.org	Medical
ted.com	C:development
teenpregnancy-ct.org	C:education
teenpregnancy-stl.org	C:youth
teenpregnancy.ncdhhs.gov	C:youth
telegraph.co.uk	C:family size
temasektimes.wordpress.com	C:family size
theatlantic.com	C:youth
thebillingsovulationmethod.org	NFP
thebirthcontrolmovie.com	C:religion
thebodypro.com	C:R/B
thebritgirl.com	C:youth
theconversation.com	Medical
thedailybeast.com	C:finances
theeastafrican.co.ke	C:programme
thefrisky.com	C:youth
theguardian.com	C:politics
thehealthage.com	NFP
thejakartapost.com	C:family size
thejournal.ie	C:family size
thenationalcampaign.org	C:youth
thenews.com.pk	C:R/B
theothermccain.com	C:family size
thephoenix.com	NFP
therealsingapore.com	C:family size
therootnews.tumblr.com	C:youth
thestir.cafemom.com	C:family size
thewomens.org.au	Medical
thinkcontraception.ie	Medical
thinkprogress.org	Medical
tht.org.uk	Medical
time.com	C:law
townhall.com	C:politics
tpp.rti.org	C:youth
tulsakids.com	C:family size
twenty-something-sherbet.blogspot.com	C:family size
uic.edu	C:law
ultimatebirthcontrol.com	Medical
umass.edu	Medical
unfpa.org	C:development
unitedwaymilwaukee.org	C:youth
upi.com	C:law
uptodate.com	Medical
urmc.rochester.edu	Medical
usaid.gov	C:advocacy
usatoday.com	C:politics
usatoday30.usatoday.com	C:family size
usccb.org	C:religion
users.interport.net	C:programme
usnews.com	C:youth
vaden.stanford.edu	C:youth
vasectomyplus.ie	Medical
virtualmentor.ama-assn.org	Medical
vitals.nbcnews.com	C:R/B
voanews.com	C:youth
washingtonpost.com	C:politics
washingtontimes.com	C:R/B
webmd.boots.com	Medical
webmd.com	C:R/B
well.blogs.nytimes.com	C:law
wellnessmama.com	NFP
wellsanfrancisco.com	C:family size
whale.to	C:R/B
wharc-online.org	C:advocacy
whatcontraceptiveareyou.com.au	Medical
who.int	C:R/B
wiki.answers.com	Medical
wire.wisc.edu	Medical
wnd.com	C:politics
womenscollegehospital.ca	Medical
womenshealth.about.com	Medical
womenshealth.answers.com	Medical
womenshealth.gov	Medical
wvdhhr.org	C:education
yorsexualhealth.org.uk	Medical
your-life.com	C:advocacy
zenit.org	NFP
