host	tag	tld
startribune.com	medical	none
startribune.com	controversies	none
surgerysquad.com	medical	none
tehrantimes.com	controversies	none
telegraph.co.uk	medical	none
telegraph.co.uk	controversies	none
termedia.pl	medical	none
termedia.pl	controversies	none
theaustralian.com.au	medical	none
theaustralian.com.au	controversies	none
theaustralian.com.au	experiences	none
theglobeandmail.com	medical	none
theglobeandmail.com	controversies	none
themisischronicles.com	none	none
thespec.com	medical	none
thespec.com	controversies	none
tommys.org	medical	none
tommys.org	controversies	none
turnto23.com	medical	none
turnto23.com	controversies	none
ukmsa.org	medical	none
ukmsa.org	controversies	none
umm.edu	medical	none
uptodate.com	medical	none
usnews.com	medical	none
usnews.com	controversies	none
vhi.org	medical	none
vhi.org	controversies	none
voices.yahoo.com	medical	none
webmd.boots.com	medical	none
webmd.com	medical	none
webmd.com	controversies	none
whattoexpect.com	medical	none
whattoexpect.com	experiences	none
who.int	medical	none
who.int	controversies	none
wiki.answers.com	medical	none
wikihow.com	medical	none
wikihow.com	controversies	none
wired.com	medical	none
wisegeek.com	medical	none
wnd.com	controversies	none
wnd.com	experiences	none
womens-health.org.nz	none	none
womens.memorialhermann.org	medical	none
womens.memorialhermann.org	experiences	none
www1.cgmh.org.tw	medical	none
www1.cgmh.org.tw	controversies	none
